Training: 2023-10-25 15:08:57,648-rank_id: 0
Training: 2023-10-25 15:09:04,041-backbone student loaded successfully!
Training: 2023-10-25 15:09:07,209-Total Step is: 458602
Training: 2023-10-25 15:16:38,743-rank_id: 0
Training: 2023-10-25 15:16:45,461-backbone student loaded successfully!
Training: 2023-10-25 15:16:46,626-Total Step is: 458602
Training: 2023-10-25 15:19:53,447-Reducer buckets have been rebuilt in this iteration.
Training: 2023-10-25 15:19:53,553-Reducer buckets have been rebuilt in this iteration.
Training: 2023-10-25 15:20:29,066-Speed 1081.14 samples/sec   Loss 47.1303   Epoch: 0   Global Step: 100   Required: 50 hours
Training: 2023-10-25 15:20:46,561-Speed 1097.52 samples/sec   Loss 50.0578   Epoch: 0   Global Step: 150   Required: 48 hours
Training: 2023-10-25 15:21:04,280-Speed 1083.67 samples/sec   Loss 49.0649   Epoch: 0   Global Step: 200   Required: 47 hours
Training: 2023-10-25 15:21:22,147-Speed 1074.68 samples/sec   Loss 49.2464   Epoch: 0   Global Step: 250   Required: 47 hours
Training: 2023-10-25 15:21:40,231-Speed 1061.82 samples/sec   Loss 49.7626   Epoch: 0   Global Step: 300   Required: 47 hours
Training: 2023-10-25 15:21:58,291-Speed 1063.22 samples/sec   Loss 51.0589   Epoch: 0   Global Step: 350   Required: 47 hours
Training: 2023-10-25 15:22:16,384-Speed 1061.26 samples/sec   Loss 50.6214   Epoch: 0   Global Step: 400   Required: 47 hours
Training: 2023-10-25 15:22:34,436-Speed 1063.71 samples/sec   Loss 49.3884   Epoch: 0   Global Step: 450   Required: 46 hours
Training: 2023-10-25 15:22:51,927-Speed 1097.74 samples/sec   Loss 48.9677   Epoch: 0   Global Step: 500   Required: 46 hours
Training: 2023-10-25 15:23:09,416-Speed 1097.90 samples/sec   Loss 49.2288   Epoch: 0   Global Step: 550   Required: 46 hours
Training: 2023-10-25 15:23:27,480-Speed 1062.97 samples/sec   Loss 49.1464   Epoch: 0   Global Step: 600   Required: 46 hours
Training: 2023-10-25 15:23:45,281-Speed 1078.62 samples/sec   Loss 48.3958   Epoch: 0   Global Step: 650   Required: 46 hours
Training: 2023-10-25 15:24:03,340-Speed 1063.27 samples/sec   Loss 48.5306   Epoch: 0   Global Step: 700   Required: 46 hours
Training: 2023-10-25 15:24:21,692-Speed 1046.24 samples/sec   Loss 48.8819   Epoch: 0   Global Step: 750   Required: 46 hours
Training: 2023-10-25 15:24:38,805-Speed 1122.04 samples/sec   Loss 47.9162   Epoch: 0   Global Step: 800   Required: 46 hours
Training: 2023-10-25 15:24:56,626-Speed 1077.41 samples/sec   Loss 47.8219   Epoch: 0   Global Step: 850   Required: 46 hours
Training: 2023-10-25 15:25:14,542-Speed 1071.74 samples/sec   Loss 47.6362   Epoch: 0   Global Step: 900   Required: 46 hours
Training: 2023-10-25 15:25:32,155-Speed 1090.14 samples/sec   Loss 46.9117   Epoch: 0   Global Step: 950   Required: 46 hours
Training: 2023-10-25 15:25:49,707-Speed 1093.97 samples/sec   Loss 47.0706   Epoch: 0   Global Step: 1000   Required: 46 hours
Training: 2023-10-25 15:26:07,034-Speed 1108.19 samples/sec   Loss 46.8742   Epoch: 0   Global Step: 1050   Required: 46 hours
Training: 2023-10-25 15:26:24,727-Speed 1085.25 samples/sec   Loss 46.6113   Epoch: 0   Global Step: 1100   Required: 46 hours
Training: 2023-10-25 15:26:42,447-Speed 1083.55 samples/sec   Loss 46.4353   Epoch: 0   Global Step: 1150   Required: 46 hours
Training: 2023-10-25 15:27:00,288-Speed 1076.23 samples/sec   Loss 46.6634   Epoch: 0   Global Step: 1200   Required: 46 hours
Training: 2023-10-25 15:27:18,224-Speed 1070.52 samples/sec   Loss 46.1997   Epoch: 0   Global Step: 1250   Required: 46 hours
Training: 2023-10-25 15:27:35,466-Speed 1113.67 samples/sec   Loss 46.0508   Epoch: 0   Global Step: 1300   Required: 45 hours
Training: 2023-10-25 15:27:52,681-Speed 1115.33 samples/sec   Loss 46.0006   Epoch: 0   Global Step: 1350   Required: 45 hours
Training: 2023-10-25 15:28:10,256-Speed 1092.52 samples/sec   Loss 45.9969   Epoch: 0   Global Step: 1400   Required: 45 hours
Training: 2023-10-25 15:28:27,690-Speed 1101.40 samples/sec   Loss 45.7153   Epoch: 0   Global Step: 1450   Required: 45 hours
Training: 2023-10-25 15:28:45,724-Speed 1064.69 samples/sec   Loss 45.6465   Epoch: 0   Global Step: 1500   Required: 45 hours
Training: 2023-10-25 15:29:03,275-Speed 1094.03 samples/sec   Loss 45.4488   Epoch: 0   Global Step: 1550   Required: 45 hours
Training: 2023-10-25 15:29:20,722-Speed 1100.54 samples/sec   Loss 45.4233   Epoch: 0   Global Step: 1600   Required: 45 hours
Training: 2023-10-25 15:29:38,254-Speed 1095.17 samples/sec   Loss 45.2565   Epoch: 0   Global Step: 1650   Required: 45 hours
Training: 2023-10-25 15:29:56,068-Speed 1077.87 samples/sec   Loss 45.1878   Epoch: 0   Global Step: 1700   Required: 45 hours
Training: 2023-10-25 15:30:13,264-Speed 1116.57 samples/sec   Loss 45.1722   Epoch: 0   Global Step: 1750   Required: 45 hours
Training: 2023-10-25 15:30:31,157-Speed 1073.13 samples/sec   Loss 45.0904   Epoch: 0   Global Step: 1800   Required: 45 hours
Training: 2023-10-25 15:30:48,340-Speed 1117.45 samples/sec   Loss 45.0925   Epoch: 0   Global Step: 1850   Required: 45 hours
Training: 2023-10-25 15:31:05,948-Speed 1090.49 samples/sec   Loss 45.0360   Epoch: 0   Global Step: 1900   Required: 45 hours
Training: 2023-10-25 15:31:23,693-Speed 1082.02 samples/sec   Loss 44.8504   Epoch: 0   Global Step: 1950   Required: 45 hours
Training: 2023-10-25 15:31:40,939-Speed 1113.36 samples/sec   Loss 44.7802   Epoch: 0   Global Step: 2000   Required: 45 hours
Training: 2023-10-25 15:31:58,035-Speed 1123.10 samples/sec   Loss 44.6679   Epoch: 0   Global Step: 2050   Required: 45 hours
Training: 2023-10-25 15:32:15,327-Speed 1110.44 samples/sec   Loss 44.6825   Epoch: 0   Global Step: 2100   Required: 45 hours
Training: 2023-10-25 15:32:32,748-Speed 1102.15 samples/sec   Loss 44.5865   Epoch: 0   Global Step: 2150   Required: 45 hours
Training: 2023-10-25 15:32:50,307-Speed 1093.51 samples/sec   Loss 44.4618   Epoch: 0   Global Step: 2200   Required: 45 hours
Training: 2023-10-25 15:33:07,772-Speed 1099.40 samples/sec   Loss 44.4006   Epoch: 0   Global Step: 2250   Required: 45 hours
Training: 2023-10-25 15:33:25,384-Speed 1090.20 samples/sec   Loss 44.3860   Epoch: 0   Global Step: 2300   Required: 45 hours
Training: 2023-10-25 15:33:42,673-Speed 1110.60 samples/sec   Loss 44.1289   Epoch: 0   Global Step: 2350   Required: 45 hours
Training: 2023-10-25 15:34:00,139-Speed 1099.32 samples/sec   Loss 44.0784   Epoch: 0   Global Step: 2400   Required: 45 hours
Training: 2023-10-25 15:34:17,312-Speed 1118.08 samples/sec   Loss 43.9581   Epoch: 0   Global Step: 2450   Required: 45 hours
Training: 2023-10-25 15:34:34,450-Speed 1120.43 samples/sec   Loss 43.9115   Epoch: 0   Global Step: 2500   Required: 45 hours
Training: 2023-10-25 15:34:51,609-Speed 1119.01 samples/sec   Loss 43.8114   Epoch: 0   Global Step: 2550   Required: 45 hours
Training: 2023-10-25 15:35:09,358-Speed 1081.80 samples/sec   Loss 43.7918   Epoch: 0   Global Step: 2600   Required: 45 hours
Training: 2023-10-25 15:35:27,057-Speed 1084.87 samples/sec   Loss 43.6097   Epoch: 0   Global Step: 2650   Required: 45 hours
Training: 2023-10-25 15:35:45,123-Speed 1062.85 samples/sec   Loss 43.6251   Epoch: 0   Global Step: 2700   Required: 45 hours
Training: 2023-10-25 15:36:02,565-Speed 1100.81 samples/sec   Loss 43.4235   Epoch: 0   Global Step: 2750   Required: 45 hours
Training: 2023-10-25 15:36:20,153-Speed 1091.73 samples/sec   Loss 43.4134   Epoch: 0   Global Step: 2800   Required: 45 hours
Training: 2023-10-25 15:36:37,602-Speed 1100.46 samples/sec   Loss 43.2708   Epoch: 0   Global Step: 2850   Required: 45 hours
Training: 2023-10-25 15:36:55,087-Speed 1098.14 samples/sec   Loss 43.1679   Epoch: 0   Global Step: 2900   Required: 45 hours
Training: 2023-10-25 15:37:12,629-Speed 1094.55 samples/sec   Loss 43.1828   Epoch: 0   Global Step: 2950   Required: 45 hours
Training: 2023-10-25 15:37:30,033-Speed 1103.30 samples/sec   Loss 42.9904   Epoch: 0   Global Step: 3000   Required: 45 hours
Training: 2023-10-25 15:37:47,773-Speed 1082.33 samples/sec   Loss 42.8779   Epoch: 0   Global Step: 3050   Required: 45 hours
Training: 2023-10-25 15:38:05,408-Speed 1088.85 samples/sec   Loss 42.7033   Epoch: 0   Global Step: 3100   Required: 45 hours
Training: 2023-10-25 15:38:23,381-Speed 1068.35 samples/sec   Loss 42.7249   Epoch: 0   Global Step: 3150   Required: 45 hours
Training: 2023-10-25 15:38:41,427-Speed 1064.01 samples/sec   Loss 42.6027   Epoch: 0   Global Step: 3200   Required: 45 hours
Training: 2023-10-25 15:38:58,801-Speed 1105.12 samples/sec   Loss 42.3963   Epoch: 0   Global Step: 3250   Required: 45 hours
Training: 2023-10-25 15:39:16,356-Speed 1093.80 samples/sec   Loss 42.4753   Epoch: 0   Global Step: 3300   Required: 45 hours
Training: 2023-10-25 15:39:34,272-Speed 1071.68 samples/sec   Loss 42.1985   Epoch: 0   Global Step: 3350   Required: 45 hours
Training: 2023-10-25 15:39:52,038-Speed 1080.81 samples/sec   Loss 42.1235   Epoch: 0   Global Step: 3400   Required: 45 hours
Training: 2023-10-25 15:40:09,413-Speed 1105.08 samples/sec   Loss 41.9947   Epoch: 0   Global Step: 3450   Required: 45 hours
Training: 2023-10-25 15:40:26,854-Speed 1100.94 samples/sec   Loss 41.8908   Epoch: 0   Global Step: 3500   Required: 45 hours
Training: 2023-10-25 15:40:44,408-Speed 1093.82 samples/sec   Loss 41.9272   Epoch: 0   Global Step: 3550   Required: 45 hours
Training: 2023-10-25 15:41:01,818-Speed 1102.85 samples/sec   Loss 41.6698   Epoch: 0   Global Step: 3600   Required: 45 hours
Training: 2023-10-25 15:41:19,031-Speed 1115.48 samples/sec   Loss 41.5500   Epoch: 0   Global Step: 3650   Required: 45 hours
Training: 2023-10-25 15:41:37,006-Speed 1068.24 samples/sec   Loss 41.4218   Epoch: 0   Global Step: 3700   Required: 45 hours
Training: 2023-10-25 15:41:54,738-Speed 1082.83 samples/sec   Loss 41.2873   Epoch: 0   Global Step: 3750   Required: 45 hours
Training: 2023-10-25 15:42:12,171-Speed 1101.45 samples/sec   Loss 41.1471   Epoch: 0   Global Step: 3800   Required: 45 hours
Training: 2023-10-25 15:42:29,976-Speed 1078.41 samples/sec   Loss 41.1307   Epoch: 0   Global Step: 3850   Required: 45 hours
Training: 2023-10-25 15:42:47,768-Speed 1079.22 samples/sec   Loss 40.9928   Epoch: 0   Global Step: 3900   Required: 45 hours
Training: 2023-10-25 15:43:05,136-Speed 1105.55 samples/sec   Loss 40.8080   Epoch: 0   Global Step: 3950   Required: 45 hours
Training: 2023-10-25 15:43:22,523-Speed 1104.33 samples/sec   Loss 40.6231   Epoch: 0   Global Step: 4000   Required: 45 hours
Training: 2023-10-25 15:43:39,837-Speed 1109.05 samples/sec   Loss 40.5039   Epoch: 0   Global Step: 4050   Required: 45 hours
Training: 2023-10-25 15:43:57,071-Speed 1114.09 samples/sec   Loss 40.4133   Epoch: 0   Global Step: 4100   Required: 45 hours
Training: 2023-10-25 15:44:14,813-Speed 1082.25 samples/sec   Loss 40.3207   Epoch: 0   Global Step: 4150   Required: 45 hours
Training: 2023-10-25 15:44:32,864-Speed 1063.71 samples/sec   Loss 39.9454   Epoch: 0   Global Step: 4200   Required: 45 hours
Training: 2023-10-25 15:44:51,052-Speed 1055.71 samples/sec   Loss 39.8789   Epoch: 0   Global Step: 4250   Required: 45 hours
Training: 2023-10-25 15:45:08,399-Speed 1106.86 samples/sec   Loss 39.7598   Epoch: 0   Global Step: 4300   Required: 45 hours
Training: 2023-10-25 15:45:25,773-Speed 1105.15 samples/sec   Loss 39.7654   Epoch: 0   Global Step: 4350   Required: 45 hours
Training: 2023-10-25 15:45:43,223-Speed 1100.39 samples/sec   Loss 39.5282   Epoch: 0   Global Step: 4400   Required: 45 hours
Training: 2023-10-25 15:46:01,039-Speed 1077.74 samples/sec   Loss 39.3166   Epoch: 0   Global Step: 4450   Required: 45 hours
